log ID,log date,log title,field name,experiment ID,owner,category,revision date,equipment,seed,seeds/m2,kg/ha,rate,volume,area,time,length,weight,None type,count,start,end,material
a604c582-8419-4cd4-a85d-1bc190d73597,2022-04-12T10:00:00+00:00,Drilling: Spring Wheat (Chilham),,,Chris Mackay,,2022-03-22T15:44:49+00:00,"Simtech, JD6230",2022 AGDELL/HARWOODS: Spring Wheat (Chilham) (Chilham),350,171.0,,,,1.5 hours,5 cm,49 g,,0.0 hours,0  hours, 0  hours,test
5ff7907b-bf86-4664-84ae-2f33744eb0ba,2022-04-07T11:30:19+00:00,Drilling: Spring Oats (Elyann),,,"Matthew Parr, Chris Mackay",,2022-04-26T11:18:11+00:00,"John Deere Drill 750A, JD6145R",2022 MEADOW: Spring Oats (Elyann) (Spring Oats),350,140.0,,,,6 hours,4 cm,,,4.6 hours,2437.1  hours, 2441.7  hours,na
6b808202-29fb-4689-809c-3592f0d2d0ef,2022-04-09T12:30:57+00:00,Drilling: Spring Oats (Elyann),,,Matthew Parr,,2022-04-26T11:18:11+00:00,"John Deere Drill 750A, JD6145R",2022 MEADOW: Spring Oats (Elyann) (Spring Oats),350,140.0,,,,3 hours,4 cm,,,3.0 hours,2441.8  hours, 2444.8  hours,na
3c2f190f-1311-408e-88c4-83a7a1e1f0f9,2022-05-04T10:10:50+00:00,Drilling: Spring Oats (Elyann),Warren,,Matthew Parr,,2022-04-26T11:18:11+00:00,"John Deere Drill 750A, JD6145R",2022 WARREN: Spring Oats (Elyann) (Spring Oats),350,140.0,,,,3 hours,3.2 cm,,,2.7 hours,2508.1  hours, 2510.8  hours,
cd8a5198-3cd0-4b64-a235-49daad1e8d6f,2022-04-12T08:30:25+00:00,Drilling: Spring Oats (Elyann),,,Matthew Parr,,2022-04-26T11:18:11+00:00,"John Deere Drill 750A, JD6145R",2022 PASTURES: Spring Oats (Elyann) (Spring Oats),350,140.0,,,,1.75 hours,4.5 cm,,,1.7 hours,2453.8  hours, 2455.5  hours,
2aa79e2f-9fad-48b9-b85a-18688ca2f56e,2022-04-13T13:10:16+00:00,Drilling: Spring Barley (Diablo),,,Matthew Parr,,2022-04-26T11:18:11+00:00,"John Deere Drill 750A, JD6145R",2022 WEST BARNFIELD 1/2: Spring Barley (Diablo) (Spring Barley),350,165.0,,,,2 hours,4.5 cm,,,2.0 hours,2456  hours, 2458  hours,
8e5a9c98-3dd8-4df8-a01e-d3beb972d46c,2022-04-22T12:45:51+00:00,Drilling: Spring Linseed (Bliss),,,Matthew Parr,,2022-04-26T11:18:11+00:00,"John Deere Drill 750A, JD6145R",2022 HIGHFIELD 4: Spring Linseed (Bliss) (Spring Linseed),750,58.5,,,,2 hours,,,,2.0 hours,2480.9  hours, 2482.9  hours,
63d14b6c-4ca4-488d-951b-cc1ce903c18f,2022-04-22T15:00:29+00:00,Drilling: Spring Linseed (Bliss),,,Matthew Parr,,2022-04-26T11:18:11+00:00,"John Deere Drill 750A, JD6145R",2022 GREAT FIELD 4: Spring Linseed (Bliss) (Spring Linseed),750,58.5,,,,0.5 hours,,,,0.6 hours,2483  hours, 2483.6  hours,
c8ec46d8-e5c4-4a0a-9139-1285861545f7,2022-04-22T15:30:30+00:00,Drilling: Spring Linseed (Bliss),,,Matthew Parr,,2022-04-26T11:18:11+00:00,"John Deere Drill 750A, JD6145R",2022 GARDEN PLOTS: Spring Linseed (Bliss) (Spring Linseed),750,58.5,,,,0.75 hours,,,,0.9 hours,2483.6  hours, 2484.5  hours,
921c53a7-1d5b-4a45-becf-8aba4c09d4cf,2022-04-23T08:30:04+00:00,Drilling: Spring Linseed (Bliss),,,Matthew Parr,,2022-04-26T11:18:11+00:00,"John Deere Drill 750A, JD6145R",2022 SCOUT: Spring Linseed (Bliss) (Spring Linseed),750,58.5,,,,2 hours,,,,1.9 hours,2485.7  hours, 2487.6  hours,
c4caa0bd-85b7-433d-a15c-de2ecba370c0,2022-04-27T10:30:02+00:00,Drilling: Spring Linseed (Bliss),,,Matthew Parr,,2022-04-26T11:18:11+00:00,"John Deere Drill 750A, JD6145R",2022 NEW ZEALAND: Spring Linseed (Bliss) (Spring Linseed),750,58.5,,,,3.25 hours,,,,3.1 hours,2498.7  hours, 2501.8  hours,
090aed31-18fb-4ceb-a07f-591762dfd98f,2022-04-19T07:30:34+00:00,Drilling: Spring Barley (Diablo),,,Matthew Parr,,2022-04-26T11:18:11+00:00,"John Deere Drill 750A, JD6145R",2022 SUMMERDELLS 1/2 & WHITE HORSE 1: Spring Barley (Diablo) (Spring Barley),350,165.0,,,,7.5 hours,,,,7.5 hours,2458.8  hours, 2466.3  hours,
a37200ab-8b10-47f2-b97b-e101ecdd4dd9,2022-04-28T15:25:42+00:00,Drilling: Field Peas (Bluetime),LITTLE KNOTT 1,,Matthew Parr,,2022-04-26T11:18:11+00:00,"John Deere Drill 750A, JD6145R",2022 LITTLE KNOTT 1 & 2: Field Peas (Bluetime) (Bluetime),90,271.0,,,,1.75 hours,,,,1.8 hours,2503.1  hours, 2504.9  hours,
631ed3e6-0170-4265-9cab-fd6c012cc823,2021-10-13T23:00:00+00:00,Drilling: Winter Wheat (Crusoe),,,Tim Hall,,2022-03-22T15:44:49+00:00,"Accord Combination Drill No. 4, JD6830","2021 2022/R/CS/738 (Fosters) (Winter Wheat), 2021 FOSTERS: Winter Wheat (Crusoe) (Winter Wheat)",350,187.0,,,,4 hours,,53.5 g,,0.0 hours,0  hours, 0  hours,
